diff_avg_max_xg,diff_avg_assists,diff_avg_shots,diff_avg_xg,diff_avg_goals,diff_avg_penalties_committed,diff_avg_penalty_minutes,diff_avg_xg_share,diff_avg_shot_share,diff_avg_goalie_goals_allowed_per_xg,result,home_team,away_team
0.10308902439024381,0.4634146341463419,-1.3536585365853675,0.12235975609756089,0.37804878048780477,-0.9878048780487809,-1.9146341463414611,0.020892447936441738,-0.029520863009191545,0.2766618649472712,0,thailand,pakistan
-0.0383646341463415,0.036585365853658125,1.3048780487804876,-0.05504024390243911,0.09756097560975618,2.2317073170731714,4.560975609756099,-0.011898488853244904,-0.015878808934675248,-0.07411533856653785,1,switzerland,kazakhstan
0.1492939024390243,1.060975609756098,4.012195121951219,0.6521792682926826,0.8170731707317072,-1.7926829268292677,-3.695121951219514,0.044147596839537284,-0.0016164900479246902,-0.05667062885483376,0,serbia,rwanda
0.16534512195121942,0.4024390243902438,0.46341463414634276,0.3656182926829272,0.4024390243902438,1.4268292682926838,2.914634146341463,0.009267039898893437,-0.01989803534125556,-0.0005312462247961669,1,brazil,netherlands
-0.04521219512195107,-0.6463414634146343,0.15853658536585158,-0.12399268292682875,-0.3414634146341462,-0.39024390243902474,-0.7073170731707314,0.007012730101964126,0.03675766564683036,-0.31856312329094705,0,india,morocco
0.07336341463414642,1.1097560975609762,4.439024390243905,0.3120146341463417,0.7439024390243905,0.24390243902438957,0.5243902439024382,0.04726787343535621,0.06302008404594317,-0.08868896700352802,0,peru,saudi_arabia
-0.011509756097561219,-0.34146341463414664,-3.670731707317074,-0.3510536585365851,-0.29268292682926855,-2.3292682926829267,-4.6829268292682915,-0.01541482492317059,-0.058277124800706515,-0.027476411610042883,1,china,pakistan
-0.36189634146341465,-1.0853658536585367,-2.1829268292682933,-0.8661036585365851,-0.524390243902439,2.3536585365853657,4.8170731707317085,-0.07337670710695471,-0.032480404451221745,0.08441375962791098,0,switzerland,uk
0.2662012195121952,1.3902439024390243,4.329268292682926,0.7768658536585367,0.8658536585365852,0.98780487804878,1.97560975609756,0.03944401591392599,0.00409326666305021,0.21088169359496967,1,serbia,philippines
0.015567073170731582,0.524390243902439,-1.9024390243902438,-0.024715853658536346,0.37804878048780477,-0.3536585365853666,-0.8658536585365866,-0.020616804415883816,-0.01923890412377549,-0.01270313932514,1,germany,canada
-0.011734146341463303,-0.6585365853658542,2.170731707317074,0.19839146341463376,-0.4390243902439024,-0.5487804878048781,-1.1097560975609753,0.045319663778024766,0.014340486551036535,0.07451088183712107,1,guatemala,ethiopia
0.005019512195121756,0.8902439024390247,3.4634146341463428,0.18195243902438962,0.5731707317073171,-1.2073170731707314,-2.439024390243901,0.03807725300968051,0.04599394270975987,0.1715394418457905,1,south_korea,oman
-0.2834414634146343,-0.3902439024390243,-1.914634146341463,-0.6544585365853659,-0.4878048780487805,-0.2804878048780495,-0.5731707317073162,-0.09335487888144894,-0.05966749713243724,-0.07401062884236931,0,mongolia,new_zealand
-0.08736463414634144,-0.8048780487804876,-0.32926829268292934,-0.1990402439024388,-0.4024390243902438,0.4146341463414638,0.8048780487804876,-0.007614140252472867,0.005029458814781562,0.21964149641830355,0,canada,panama
-0.04566951219512205,0.3170731707317067,0.6097560975609753,0.15166097560975622,0.060975609756097615,-1.560975609756098,-3.365853658536585,0.060995431092080665,0.03634919243891205,0.026949959828365233,0,netherlands,iceland
-0.026915853658536548,0.31707317073170715,2.524390243902438,0.054939024390243674,0.23170731707317094,-0.8902439024390247,-2.060975609756097,0.007740467538787432,0.05181191474035585,-0.1622010557382706,1,indonesia,uae
0.039504878048780556,-0.21951219512195141,2.512195121951219,0.20200853658536566,-0.04878048780487809,-0.43902439024390194,-1.0731707317073162,0.06905521440172879,0.049809054572779954,0.11999396798064454,1,mexico,usa
0.09456707317073176,1.048780487804878,1.3292682926829293,0.41031463414634084,0.6463414634146343,-2.6707317073170724,-5.378048780487806,0.0435562437835838,0.007994884334780739,-0.18941099876310852,1,panama,rwanda
-0.21879512195121964,-0.7682926829268291,-3.2195121951219505,-0.6932573170731704,-0.5853658536585367,-0.32926829268292757,-0.6341463414634152,-0.05660983657981988,-0.023618420051904288,-0.11578020187751603,0,kazakhstan,france
0.11359390243902423,0.25609756097560954,-1.5487804878048763,0.18851951219512264,0.25609756097560954,-0.1829268292682924,-0.37804878048780566,0.08772107865495216,0.018436325805796072,-0.01737664475084122,1,brazil,singapore
0.3055878048780487,1.4024390243902447,3.402439024390244,0.8409573170731703,0.8658536585365852,0.1341463414634143,0.03658536585365901,0.11840196502992262,0.038179283453285084,0.2191812532755486,1,thailand,vietnam
0.4332317073170733,1.7195121951219519,3.085365853658537,1.0907914634146336,1.1341463414634148,-0.32926829268292757,-0.6463414634146343,0.10771682769781882,0.03696815791257063,0.19242724914357612,1,thailand,switzerland
-0.05541829268292697,0.4146341463414638,-0.7073170731707314,-0.3321036585365853,0.31707317073170715,1.7804878048780486,3.6219512195121943,-0.05342577457844466,-0.051914802875449806,-0.2203204352337792,0,ethiopia,france
-0.02276951219512191,-0.7682926829268295,0.9024390243902438,-0.1865585365853657,-0.6219512195121952,2.6097560975609753,5.439024390243905,-0.01532529911522712,0.00621456097421319,-0.017527358330055032,1,rwanda,germany
-0.20174146341463417,-1.1463414634146347,-1.2073170731707314,-0.4161939024390242,-0.8048780487804876,0.12195121951219523,0.3048780487804894,-0.015082550854620125,0.01241757388887027,0.03042489478972532,1,switzerland,ethiopia
0.06160975609756125,0.5,3.1829268292682933,0.2703560975609758,0.3292682926829271,-0.07317073170731714,-0.09756097560975618,0.017452139179935933,0.035360153545459516,0.1616161396209831,1,canada,saudi_arabia
0.025376829268292544,-0.024390243902439046,1.3902439024390247,0.04609512195121912,0.060975609756097615,0.2804878048780495,0.573170731707318,0.001380025610879021,-0.00922011838843595,-0.25426465598276204,1,philippines,kazakhstan
