game_id,home_team,away_team,toi,home_assists,home_shots,home_xg,home_max_xg,home_goals,away_assists,away_shots,away_xg,away_max_xg,away_goals,home_penalties_committed,home_penalty_minutes,away_penalties_committed,away_penalty_minutes,result,home_team_avg_assists,home_team_avg_shots,home_team_avg_xg,home_team_avg_max_xg,home_team_avg_goals,home_team_avg_penalties_committed,home_team_avg_penalty_minutes,away_team_avg_assists,away_team_avg_shots,away_team_avg_xg,away_team_avg_max_xg,away_team_avg_goals,away_team_avg_penalties_committed,away_team_avg_penalty_minutes
game_1,thailand,pakistan,3599.9900000000002,2,21,2.8230999999999997,1.3905,1,6,24,2.7516,1.2546,3,8,16,6,12,0,5.530864197530864,28.703703703703702,3.603874074074074,1.5049518518518519,3.617283950617284,7.0,14.308641975308642,5.012345679012346,30.037037037037038,3.4808864197530864,1.402267901234568,3.2098765432098766,8.024691358024691,16.296296296296298
game_10,switzerland,kazakhstan,3600.01,7,20,1.9254,1.2758,4,4,30,3.3189,1.2719,3,10,20,0,0,1,3.728395061728395,25.59259259259259,2.5106987654320987,1.0677876543209877,2.432098765432099,7.308641975308642,14.91358024691358,3.728395061728395,24.14814814814815,2.549214814814815,1.106674074074074,2.345679012345679,5.172839506172839,10.54320987654321
game_100,serbia,rwanda,3600.0,7,30,3.6712,1.7835999999999999,4,10,27,3.024,1.2909,5,8,16,10,20,0,5.074074074074074,29.938271604938272,3.3779864197530864,1.3955345679012345,3.271604938271605,6.3580246913580245,12.925925925925926,3.962962962962963,25.91358024691358,2.7257456790123458,1.2504802469135805,2.432098765432099,8.148148148148149,16.617283950617285
game_1000,brazil,netherlands,3600.03,6,32,3.5905,1.5239,5,0,27,2.5261,1.134,0,10,20,6,12,1,5.172839506172839,26.296296296296298,3.319614814814815,1.4143925925925926,3.345679012345679,6.950617283950617,14.185185185185185,4.839506172839506,25.88888888888889,2.9626234567901233,1.25181975308642,3.0,5.555555555555555,11.333333333333334
game_1001,india,morocco,3599.99,4,32,3.4592,1.8355000000000001,2,6,29,3.7658000000000005,1.2034,3,8,16,8,16,0,4.209876543209877,28.901234567901234,2.912058024691358,1.2079975308641977,2.7037037037037037,5.555555555555555,11.308641975308642,4.839506172839506,28.77777777777778,3.033796296296296,1.2615716049382715,3.037037037037037,5.950617283950617,12.024691358024691
game_1002,peru,saudi_arabia,5676.92,0,35,3.3131,1.5098,0,2,23,2.5685000000000002,1.3251,1,12,24,8,16,0,4.950617283950617,28.098765432098766,2.9782320987654325,1.2669679012345678,3.1604938271604937,6.160493827160494,12.567901234567902,3.802469135802469,23.753086419753085,2.671558024691358,1.194979012345679,2.3950617283950617,5.962962962962963,12.135802469135802
game_1003,china,pakistan,3600.01,6,20,2.1864,1.2303,4,6,34,3.3309,1.3943,3,6,12,7,14,1,4.666666666666667,26.37037037037037,3.1324765432098767,1.390916049382716,2.9012345679012346,5.666666666666667,11.555555555555555,5.012345679012346,29.91358024691358,3.473734567901235,1.4005432098765433,3.2098765432098766,8.012345679012345,16.271604938271604
game_1004,switzerland,uk,3600.0,2,18,1.5251,1.056,1,6,26,2.7155,1.2664,4,6,12,3,6,0,3.7901234567901234,25.617283950617285,2.5156407407407406,1.0705012345679012,2.4691358024691357,7.3580246913580245,15.012345679012345,4.839506172839506,27.728395061728396,3.3777407407407405,1.4342679012345678,2.962962962962963,5.012345679012346,10.209876543209877
game_1005,serbia,philippines,3599.99,2,24,2.4898,1.3179,2,1,27,2.4407,0.8613,1,6,12,4,8,1,5.135802469135802,30.012345679012345,3.3925716049382713,1.401283950617284,3.2962962962962963,6.382716049382716,12.975308641975309,3.740740740740741,25.59259259259259,2.606720987654321,1.1374333333333333,2.432098765432099,5.407407407407407,11.024691358024691
game_1006,germany,canada,3600.02,6,29,3.1746,1.268,5,2,19,2.1493,0.9044,1,5,10,4,8,1,4.790123456790123,24.97530864197531,2.912748148148148,1.2738135802469135,3.0617283950617282,5.567901234567901,11.234567901234568,4.308641975308642,27.02469135802469,2.950427160493827,1.2625432098765432,2.728395061728395,5.938271604938271,12.135802469135802
